City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,15.73,91,87,0.89,ZA,1730092105
1,kailua-kona,19.6406,-155.9956,23.66,95,100,0.45,US,1730092106
2,codrington,-38.2667,141.9667,14.64,59,52,5.8,AU,1730092107
3,puerto natales,-51.7236,-72.4875,6.82,91,100,7.26,CL,1730092108
4,adamstown,-25.066,-130.1015,21.38,81,39,4.21,PN,1730092109
5,raja,8.4596,25.678,21.17,55,67,1.37,SS,1730092110
6,qaqortoq,60.7167,-46.0333,0.06,99,100,2.6,GL,1730092112
7,isafjordur,66.0755,-23.124,-0.45,73,99,4.44,IS,1730092113
8,tiksi,71.6872,128.8694,-15.31,95,100,2.1,RU,1730092114
9,belyy yar,53.6039,91.3903,5.94,87,40,1.0,RU,1730092115
10,blackmans bay,-43.0167,147.3167,16.52,44,50,1.34,AU,1730092116
11,nyurba,63.2842,118.3319,-7.02,93,100,2.74,RU,1730092117
12,mount gambier,-37.8333,140.7667,16.47,48,37,4.31,AU,1730092119
13,grytviken,-54.2811,-36.5092,-2.51,83,25,0.67,GS,1730092120
14,brookings,44.3114,-96.7984,11.73,55,0,5.14,US,1730092121
15,avarua,-21.2078,-159.775,23.03,68,40,5.14,CK,1730092122
16,meulaboh,4.1363,96.1285,29.31,65,39,2.06,ID,1730092123
17,salinopolis,-0.6136,-47.3561,26.12,78,22,5.55,BR,1730092124
18,bethel,41.3712,-73.414,5.32,67,69,1.26,US,1730092126
19,hawaiian paradise park,19.5933,-154.9731,22.73,98,0,2.57,US,1730092127
20,vernon,50.2581,-119.2691,9.96,72,95,1.34,CA,1730092128
21,palmas,-10.2128,-48.3603,26.93,89,20,1.03,BR,1730091484
22,frenda,35.0654,1.0495,11.68,88,100,3.99,DZ,1730092130
23,port-aux-francais,-49.35,70.2167,2.9,75,91,14.74,TF,1730092131
24,kingston,17.997,-76.7936,28.53,84,20,2.06,JM,1730091919
25,dauphin,51.1494,-100.0502,7.04,54,100,5.47,CA,1730092133
26,campos,-21.75,-41.3,21.33,75,100,2.9,BR,1730092134
27,quatre cocos,-20.2078,57.7625,27.06,79,52,3.0,MU,1730092135
28,stanley,54.868,-1.6985,13.01,90,100,5.14,GB,1730092068
29,ushuaia,-54.8,-68.3,3.49,98,86,2.9,AR,1730092137
30,myskhako,44.6714,37.7433,11.03,66,58,2.67,RU,1730092138
31,afaahiti,-17.75,-149.2833,23.62,72,90,5.8,PF,1730092140
32,aksu,41.1231,80.2644,14.25,30,100,1.61,CN,1730092141
33,iqaluit,63.7506,-68.5145,-7.39,85,25,5.36,CA,1730092142
34,port lincoln,-34.7333,135.8667,17.37,60,7,5.35,AU,1730092143
35,port isabel,26.0734,-97.2086,24.02,88,20,0.0,US,1730092144
36,puerto ayora,-0.7393,-90.3518,20.31,92,78,2.24,EC,1730092145
37,villamontes,-21.25,-63.5,17.38,47,23,1.12,BO,1730092146
38,zadawa,11.4496,10.3672,22.07,24,20,3.41,NG,1730092147
39,yantarnyy,54.8717,19.9381,10.42,73,40,8.78,RU,1730092148
40,orchard homes,46.8633,-114.0484,7.08,79,100,5.66,US,1730092149
